section_number,title,division,subtitle,word_count,file_path
1,SHORT TITLE.,Unknown,,74,sec1_short_title.txt
2,ORGANIZATION OF ACT INTO DIVISIONS; TABLE OF CONTENTS.,Unknown,,20242,sec2_organization_of_act_into_divisions_table_of_contents.txt
4,BUDGETARY EFFECTS OF THIS ACT.,Unknown,,88,sec4_budgetary_effects_of_this_act.txt
5,EXPLANATORY STATEMENT.,Unknown,,77,sec5_explanatory_statement.txt
111,LIMITATIONS ON PRODUCTION OF EXTENDED RANGE CANNON ARTILLERY HOWITZERS.,PROCUREMENT,Army Programs,342,sec111_limitations_on_production_of_extended_range_cannon_artillery_howitzers.txt
121,REQUIREMENTS RELATING TO EA–18G AIRCRAFT OF THE NAVY.,PROCUREMENT,Navy Programs,530,sec121_requirements_relating_to_ea18g_aircraft_of_the_navy.txt
122,NAVY SHIPBUILDING WORKFORCE DEVELOPMENT SPECIAL INCENTIVE.,PROCUREMENT,Navy Programs,941,sec122_navy_shipbuilding_workforce_development_special_incentive.txt
8696,10 USC 8696 . NAVY SHIPBUILDING WORKFORCE DEVELOPMENT SPECIAL INCENTIVE.,PROCUREMENT,Navy Programs,798,sec8696_10_usc_8696_navy_shipbuilding_workforce_development_special_incentive.txt
123,EXTENSION OF PROHIBITION ON AVAILABILITY OF FUNDS FOR NAVY PORT WATERBORNE SECURITY BARRIERS.,PROCUREMENT,Navy Programs,127,sec123_extension_of_prohibition_on_availability_of_funds_for_navy_port_waterborne_secur.txt
124,LIMITATION ON AUTHORITY TO MODIFY CAPABILITIES AND FLEET CONFIGURATION OF E–6B AIRCRAFT.,PROCUREMENT,Navy Programs,246,sec124_limitation_on_authority_to_modify_capabilities_and_fleet_configuration_of_e6b_ai.txt
125,MULTIYEAR PROCUREMENT AUTHORITY FOR ARLEIGH BURKE CLASS DESTROYERS.,PROCUREMENT,Navy Programs,409,sec125_multiyear_procurement_authority_for_arleigh_burke_class_destroyers.txt
126,PROCUREMENT AUTHORITY FOR SHIP-TO-SHORE CONNECTOR PROGRAM.,PROCUREMENT,Navy Programs,489,sec126_procurement_authority_for_ship_to_shore_connector_program.txt
127,PROCUREMENT AUTHORITY FOR CH–53K HEAVY LIFT HELICOPTER PROGRAM.,PROCUREMENT,Navy Programs,480,sec127_procurement_authority_for_ch53k_heavy_lift_helicopter_program.txt
128,PROCUREMENT AUTHORITIES FOR JOHN LEWIS-CLASS FLEET REPLENISHMENT OILER SHIPS.,PROCUREMENT,Navy Programs,595,sec128_procurement_authorities_for_john_lewis_class_fleet_replenishment_oiler_ships.txt
129,PROCUREMENT AUTHORITIES FOR CERTAIN AMPHIBIOUS SHIPBUILDING PROGRAMS.,PROCUREMENT,Navy Programs,568,sec129_procurement_authorities_for_certain_amphibious_shipbuilding_programs.txt
130,CONTRACTS FOR DESIGN AND CONSTRUCTION OF THE DDG(X) DESTROYER PROGRAM.,PROCUREMENT,Navy Programs,450,sec130_contracts_for_design_and_construction_of_the_ddgx_destroyer_program.txt
131,TOMAHAWK AND STANDARD MISSILE–6 CAPABILITY ON FFG–62 CLASS VESSELS.,PROCUREMENT,Navy Programs,51,sec131_tomahawk_and_standard_missile6_capability_on_ffg62_class_vessels.txt
132,REPORT ON ADVANCE PROCUREMENT FOR CVN–82 AND CVN–83.,PROCUREMENT,Navy Programs,223,sec132_report_on_advance_procurement_for_cvn82_and_cvn83.txt
133,QUARTERLY BRIEFINGS ON THE CH–53K KING STALLION HELICOPTER PROGRAM.,PROCUREMENT,Navy Programs,254,sec133_quarterly_briefings_on_the_ch53k_king_stallion_helicopter_program.txt
141,MODIFICATION OF INVENTORY REQUIREMENTS FOR AIRCRAFT OF THE COMBAT AIR FORCES.,PROCUREMENT,Air Force Programs,179,sec141_modification_of_inventory_requirements_for_aircraft_of_the_combat_air_forces.txt
