section_number,title,division,subtitle,word_count,file_path
113,Authorization to initiate early production of future long-range assault aircraft,Procurement,Army Programs,330,sec113_authorization_to_initiate_early_production_of_future_long_range_assault_aircraft.txt
114,Limitation on availability of funds for the Next Generation Command and Control portfolio of capabilities of the Army,Procurement,Army Programs,240,sec114_limitation_on_availability_of_funds_for_the_next_generation_command_and_control_.txt
122,Modification to limitations on Navy medium and large unmanned surface vessels,Procurement,Navy Programs,272,sec122_modification_to_limitations_on_navy_medium_and_large_unmanned_surface_vessels.txt
126,Authority for advance procurement of certain components to support continuous production of Virginia-class submarines,Procurement,Navy Programs,308,sec126_authority_for_advance_procurement_of_certain_components_to_support_continuous_pr.txt
127,Procurement authorities for Medium Landing Ships,Procurement,Navy Programs,442,sec127_procurement_authorities_for_medium_landing_ships.txt
129,Vessel construction managers for the construction of certain Navy vessels,Procurement,Navy Programs,315,sec129_vessel_construction_managers_for_the_construction_of_certain_navy_vessels.txt
131,Limitation on availability of funds for TAGOS ship program,Procurement,Navy Programs,286,sec131_limitation_on_availability_of_funds_for_tagos_ship_program.txt
145,Extension of requirements relating to C–130 aircraft,Procurement,Air Force Programs,231,sec145_extension_of_requirements_relating_to_c130_aircraft.txt
147,Modification to minimum inventory requirement for A–10 aircraft,Procurement,Air Force Programs,507,sec147_modification_to_minimum_inventory_requirement_for_a10_aircraft.txt
150,B–21 bomber aircraft program accountability matrices,Procurement,Air Force Programs,637,sec150_b21_bomber_aircraft_program_accountability_matrices.txt
151,Bomber aircraft force structure and transition roadmap,Procurement,Air Force Programs,307,sec151_bomber_aircraft_force_structure_and_transition_roadmap.txt
152,"Requirement for an intelligence, surveillance, and reconnaissance roadmap for the Air Force",Procurement,Air Force Programs,291,sec152_requirement_for_an_intelligence_surveillance_and_reconnaissance_roadmap_for_the_.txt
161,Requirements relating to executive airlift aircraft,Procurement,"Defense-wide, Joint, and Multiservice Matters",402,sec161_requirements_relating_to_executive_airlift_aircraft.txt
165,Plan for open mission systems of F–35 aircraft,Procurement,"Defense-wide, Joint, and Multiservice Matters",279,sec165_plan_for_open_mission_systems_of_f35_aircraft.txt
213,"Program for the enhancement of the research, development, test, and evaluation centers of the Department of Defense","Research, Development, Test, and Evaluation","Program Requirements, Restrictions, and Limitations",541,sec213_program_for_the_enhancement_of_the_research_development_test_and_evaluation_cent.txt
