section_number,title,division,subtitle,word_count,file_path
2,ORGANIZATION OF ACT INTO DIVISIONS; TABLE OF CONTENTS.,Unknown,,17083,sec2_organization_of_act_into_divisions_table_of_contents.txt
4,BUDGETARY EFFECTS OF THIS ACT.,Unknown,,88,sec4_budgetary_effects_of_this_act.txt
111,AUTHORITY OF THE SECRETARY OF THE ARMY TO WAIVE CERTAIN LIMITATIONS RELATED TO THE DISTRIBUTED COMMON GROUND SYSTEM-ARMY INCREMENT 1.,PROCUREMENT,Army Programs,64,sec111_authority_of_the_secretary_of_the_army_to_waive_certain_limitations_related_to_t.txt
121,FORD-CLASS AIRCRAFT CARRIER COST LIMITATION BASELINES.,PROCUREMENT,Navy Programs,333,sec121_ford_class_aircraft_carrier_cost_limitation_baselines.txt
8692,10 USC 8692 .  Ford-class aircraft carriers: cost limitation baselines,PROCUREMENT,Navy Programs,225,sec8692_10_usc_8692_ford_class_aircraft_carriers_cost_limitation_baselines.txt
122,MODIFICATION OF ANNUAL REPORT ON COST TARGETS FOR CERTAIN AIRCRAFT CARRIERS.,PROCUREMENT,Navy Programs,188,sec122_modification_of_annual_report_on_cost_targets_for_certain_aircraft_carriers.txt
123,REFUELING AND COMPLEX OVERHAULS OF THE U.S.S. JOHN C. STENNIS AND U.S.S. HARRY S. TRUMAN.,PROCUREMENT,Navy Programs,173,sec123_refueling_and_complex_overhauls_of_the_uss_john_c_stennis_and_uss_harry_s_truman.txt
125,PROHIBITION ON USE OF FUNDS FOR REDUCTION OF AIRCRAFT CARRIER FORCE STRUCTURE.,PROCUREMENT,Navy Programs,68,sec125_prohibition_on_use_of_funds_for_reduction_of_aircraft_carrier_force_structure.txt
126,MODIFICATION OF PROHIBITION ON AVAILABILITY OF FUNDS FOR NAVY WATERBORNE SECURITY BARRIERS.,PROCUREMENT,Navy Programs,205,sec126_modification_of_prohibition_on_availability_of_funds_for_navy_waterborne_securit.txt
127,LHA REPLACEMENT AMPHIBIOUS ASSAULT SHIP PROGRAM.,PROCUREMENT,Navy Programs,162,sec127_lha_replacement_amphibious_assault_ship_program.txt
128,STRATEGIC SEALIFT FLEET VESSEL.,PROCUREMENT,Navy Programs,365,sec128_strategic_sealift_fleet_vessel.txt
129,DESIGN AND CONSTRUCTION OF AMPHIBIOUS TRANSPORT DOCK DESIGNATED LPD–31.,PROCUREMENT,Navy Programs,148,sec129_design_and_construction_of_amphibious_transport_dock_designated_lpd31.txt
130,LIMITATION ON AVAILABILITY OF FUNDS FOR THE LITTORAL COMBAT SHIP.,PROCUREMENT,Navy Programs,188,sec130_limitation_on_availability_of_funds_for_the_littoral_combat_ship.txt
131,LIMITATION ON THE NEXT NEW CLASS OF NAVY LARGE SURFACE COMBATANTS.,PROCUREMENT,Navy Programs,332,sec131_limitation_on_the_next_new_class_of_navy_large_surface_combatants.txt
132,LIMITATION ON AVAILABILITY OF FUNDS PENDING QUARTERLY UPDATES ON THE CH–53K KING STALLION HELICOPTER PROGRAM.,PROCUREMENT,Navy Programs,351,sec132_limitation_on_availability_of_funds_pending_quarterly_updates_on_the_ch53k_king_.txt
133,LIMITATION ON AVAILABILITY OF FUNDS FOR VH–92A HELICOPTER.,PROCUREMENT,Navy Programs,243,sec133_limitation_on_availability_of_funds_for_vh92a_helicopter.txt
134,REPORT ON CARRIER WING AND AVIATION COMBAT ELEMENT COMPOSITION.,PROCUREMENT,Navy Programs,224,sec134_report_on_carrier_wing_and_aviation_combat_element_composition.txt
141,MODIFICATION OF REQUIREMENT TO PRESERVE CERTAIN C–5 AIRCRAFT.,PROCUREMENT,Air Force Programs,148,sec141_modification_of_requirement_to_preserve_certain_c5_aircraft.txt
142,OC–135B AIRCRAFT RECAPITALIZATION PROGRAM.,PROCUREMENT,Air Force Programs,77,sec142_oc135b_aircraft_recapitalization_program.txt
143,REQUIREMENT TO ALIGN AIR FORCE AVIATION FORCE STRUCTURE WITH NATIONAL DEFENSE STRATEGY.,PROCUREMENT,Air Force Programs,131,sec143_requirement_to_align_air_force_aviation_force_structure_with_national_defense_st.txt
144,PROHIBITION ON AVAILABILITY OF FUNDS FOR REDUCTION IN KC–10 PRIMARY MISSION AIRCRAFT INVENTORY.,PROCUREMENT,Air Force Programs,63,sec144_prohibition_on_availability_of_funds_for_reduction_in_kc10_primary_mission_aircr.txt
145,LIMITATION ON AVAILABILITY OF FUNDS FOR F–15EX AIRCRAFT.,PROCUREMENT,Air Force Programs,275,sec145_limitation_on_availability_of_funds_for_f15ex_aircraft.txt
146,LIMITATION ON AVAILABILITY OF FUNDS FOR VC–25B AIRCRAFT.,PROCUREMENT,Air Force Programs,226,sec146_limitation_on_availability_of_funds_for_vc25b_aircraft.txt
147,LIMITATION ON AVAILABILITY OF FUNDS FOR RC–26B AIRCRAFT.,PROCUREMENT,Air Force Programs,429,sec147_limitation_on_availability_of_funds_for_rc26b_aircraft.txt
148,LIMITATION ON AVAILABILITY OF FUNDS FOR RETIREMENT OF RC–135 AIRCRAFT.,PROCUREMENT,Air Force Programs,186,sec148_limitation_on_availability_of_funds_for_retirement_of_rc135_aircraft.txt
149,AIR FORCE AGGRESSOR SQUADRON MODERNIZATION.,PROCUREMENT,Air Force Programs,311,sec149_air_force_aggressor_squadron_modernization.txt
150,AIR FORCE PLAN FOR COMBAT RESCUE HELICOPTER FIELDING.,PROCUREMENT,Air Force Programs,478,sec150_air_force_plan_for_combat_rescue_helicopter_fielding.txt
151,REPORT ON FEASIBILITY OF MULTIYEAR CONTRACT FOR PROCUREMENT OF JASSM–ER MISSILES.,PROCUREMENT,Air Force Programs,175,sec151_report_on_feasibility_of_multiyear_contract_for_procurement_of_jassmer_missiles.txt
